random_seed=88,,
previous years,normalize,unnormalized
1,26388.136968350693,26388.13696835071
2,26181.406348919998,26181.40634891996
3,26349.027599538877,26349.027599538902
4,26434.370458996007,26434.370458995923
5,26617.559881351306,26617.55988135133
random_seed=89,,
previous years,normalize,unnormalized
1,22551.876603616274,22551.8766036163
2,22182.91510355613,22182.915103556163
3,21848.900025641356,21848.900025641447
4,22102.322452710312,22102.322452710334
5,22055.89025048097,22055.890250481032
random_seed=90,,
previous years,normalize,unnormalized
1,22094.58548319083,22094.585483190865
2,21396.45460744923,21396.454607449217
3,21153.403508722087,21153.403508722036
4,20956.397374887332,20956.39737488734
5,21490.800287099246,21490.800287099195
random_seed=91,,
previous years,normalize,unnormalized
1,25468.964287950785,25468.964287950905
2,25173.367144150077,25173.367144150216
3,25061.952646126007,25061.952646126112
4,25715.118528190815,25715.11852819096
5,25851.808138846223,25851.808138846296
random_seed=92,,
previous years,normalize,unnormalized
1,23074.817776805063,23074.817776805212
2,23142.401904076127,23142.401904076298
3,23398.476649364296,23398.47664936454
4,23925.166743223464,23925.166743223726
5,24049.520551375423,24049.520551375685
random_seed=93,,
previous years,normalize,unnormalized
1,24077.266287446422,24077.266287446382
2,25034.090065808363,25034.090065808337
3,25010.739172124497,25010.739172124482
4,24920.05491546251,24920.054915462515
5,24846.68636292597,24846.686362925964
