Feature Games Played Year -1,Feature Passes Attempted Year -1,Feature Passes Completed Year -1,Feature Completion Percentage Year -1,Feature Pass Attempts Per Game Year -1,Feature Passing Yards Year -1,Feature Passing Yards Per Attempt Year -1,Feature Passing Yards Per Game Year -1,Feature TD Passes Year -1,Feature Percentage of TDs per Attempts Year -1,Feature Ints Year -1,Feature Int Rate Year -1,Feature Longest Pass Year -1,Feature Passes Longer than 20 Yards Year -1,Feature Passes Longer than 40 Yards Year -1,Feature Sacks Year -1,Feature Sacked Yards Lost Year -1,Feature Passer Rating Year -1,Feature Rushing Attempts Year -1,Feature Rushing Attempts Per Game Year -1,Feature Rushing Yards Year -1,Feature Yards Per Carry Year -1,Feature Rushing Yards Per Game Year -1,Feature Rushing TDs Year -1,Feature Longest Rushing Run Year -1,Feature Rushing First Downs Year -1,Feature Percentage of Rushing First Downs Year -1,Feature Rushing More Than 20 Yards Year -1,Feature Rushing More Than 40 Yards Year -1,Feature Receptions Year -1,Feature Receiving Yards Year -1,Feature Yards Per Reception Year -1,Feature Yards Per Game Year -1,Feature Longest Reception Year -1,Feature Receiving TDs Year -1,Feature Receptions Longer than 20 Yards Year -1,Feature Receptions Longer than 40 Yards Year -1,Feature First Down Receptions Year -1,Feature Fumbles Year -1,Target Passing Yards,Target TD Passes,Target Ints,Target Rushing Yards,Target Rushing TDs,Target Receiving Yards,Target Receiving TDs,Target Fumbles
9.0,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,1.0,0.1,-3.0,-3.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,21.0,8.0,38.1,1.9,108.0,5.1,9.8,1.0,4.8,2.0,9.5,0.0,0.0,0.0,0.0,0.0,31.5,12.0,1.1,-11.0,-0.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
6.0,39.0,12.0,30.8,6.5,159.0,4.1,26.5,2.0,5.1,8.0,20.5,0.0,0.0,0.0,8.0,73.0,22.2,4.0,0.7,-1.0,-0.3,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,6.9,303.0,3.7,25.2,2.0,0.0,0.0,0.0,0.0,0.0,13.0,138.0,10.6,11.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,16.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,8.2,507.0,5.1,42.2,5.0,0.0,0.0,0.0,0.0,0.0,14.0,129.0,9.2,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,2.0,138.0,1.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,7.9,492.0,5.2,41.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,5.0,129.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.8,156.0,2.7,13.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,250.0,20.8,20.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,3.0,100.0,0.0,0.0
12.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,23.0,1.9,73.0,3.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,12.8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,2.0,250.0,2.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,7.9,394.0,4.5,35.8,1.0,0.0,0.0,0.0,0.0,0.0,11.0,120.0,10.9,10.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,115.0,0.0,0.0
11.0,6.0,1.0,16.7,0.5,16.0,2.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,15.0,1.4,43.0,2.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,6.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,15.0,0.0,0.0
